Date,Value,Anomaly
198001,2.65,0.34
198002,1.92,-0.21
198003,3.39,0.88
198004,2.38,-0.14
198005,3.09,0.18
198006,2.31,-0.62
198007,1.97,-0.81
198008,2.57,-0.05
198009,2.79,0.3
198010,1.87,-0.29
198011,1.76,-0.47
198012,1.57,-0.78
198101,0.98,-1.33
198102,2.17,0.04
198103,2.21,-0.3
198104,2.19,-0.33
198105,3.55,0.64
198106,3.41,0.48
198107,3.09,0.31
198108,2.76,0.14
198109,2.08,-0.41
198110,3.1,0.94
198111,2.01,-0.22
198112,2.41,0.06
198201,2.84,0.53
198202,2.23,0.1
198203,2.51,0
198204,2.52,0
198205,3.42,0.51
198206,3.31,0.38
198207,2.95,0.17
198208,2.55,-0.07
198209,2.45,-0.04
198210,2.33,0.17
198211,2.99,0.76
198212,3.76,1.41
198301,2.08,-0.23
198302,2.68,0.55
198303,3.7,1.19
198304,3.2,0.68
198305,3.47,0.56
198306,2.95,0.02
198307,2.08,-0.7
198308,2.37,-0.25
198309,2.26,-0.23
198310,2.61,0.45
198311,3.92,1.69
198312,3.44,1.09
198401,1.35,-0.96
198402,2.11,-0.02
198403,2.75,0.24
198404,2.95,0.43
198405,3.15,0.24
198406,2.93,0
198407,2.83,0.05
198408,2.43,-0.19
198409,1.91,-0.58
198410,3.65,1.49
198411,2.85,0.62
198412,2.49,0.14
198501,1.42,-0.89
198502,2.1,-0.03
198503,2.48,-0.03
198504,1.97,-0.55
198505,2.55,-0.36
198506,2.62,-0.31
198507,2.72,-0.06
198508,2.93,0.31
198509,3,0.51
198510,3.18,1.02
198511,3.54,1.31
198512,1.46,-0.89
198601,1.45,-0.86
198602,2.82,0.69
198603,1.98,-0.53
198604,2.24,-0.28
198605,2.95,0.04
198606,3.03,0.1
198607,2.75,-0.03
198608,2.82,0.2
198609,3.59,1.1
198610,2.81,0.65
198611,2.94,0.71
198612,2,-0.35
198701,2.17,-0.14
198702,2.33,0.2
198703,2.67,0.16
198704,1.46,-1.06
198705,3.24,0.33
198706,2.81,-0.12
198707,2.83,0.05
198708,2.74,0.12
198709,2.19,-0.3
198710,1.15,-1.01
198711,2.55,0.32
198712,2.87,0.52
198801,1.97,-0.34
198802,1.52,-0.61
198803,2.04,-0.47
198804,2.32,-0.2
198805,2.07,-0.84
198806,1.61,-1.32
198807,2.7,-0.08
198808,2.57,-0.05
198809,2.81,0.32
198810,1.43,-0.73
198811,3.17,0.94
198812,1.69,-0.66
198901,2.05,-0.26
198902,2.01,-0.12
198903,2.91,0.4
198904,1.79,-0.73
198905,3.26,0.35
198906,3.8,0.87
198907,2.86,0.08
198908,2.73,0.11
198909,2.68,0.19
198910,1.89,-0.27
198911,1.73,-0.5
198912,1.34,-1.01
199001,2.79,0.48
199002,2.68,0.55
199003,2.71,0.2
199004,2.49,-0.03
199005,3.83,0.92
199006,2.5,-0.43
199007,2.94,0.16
199008,2.65,0.03
199009,2.04,-0.45
199010,2.76,0.6
199011,2.09,-0.14
199012,2.69,0.34
199101,2.37,0.06
199102,1.64,-0.49
199103,3.33,0.82
199104,3.35,0.83
199105,3.72,0.81
199106,2.84,-0.09
199107,2.7,-0.08
199108,2.6,-0.02
199109,2.53,0.04
199110,2.1,-0.06
199111,2.49,0.26
199112,2.77,0.42
199201,2.08,-0.23
199202,2.32,0.19
199203,2.51,0
199204,2.06,-0.46
199205,2.29,-0.62
199206,3.39,0.46
199207,3.65,0.87
199208,2.9,0.28
199209,2.33,-0.16
199210,1.67,-0.49
199211,3.27,1.04
199212,2.79,0.44
199301,3.2,0.89
199302,2.18,0.05
199303,2.85,0.34
199304,2.92,0.4
199305,2.94,0.03
199306,3.61,0.68
199307,3.3,0.52
199308,2.77,0.15
199309,2.58,0.09
199310,2.19,0.03
199311,2.12,-0.11
199312,1.96,-0.39
199401,2.24,-0.07
199402,2.15,0.02
199403,2.36,-0.15
199404,2.82,0.3
199405,2.43,-0.48
199406,2.9,-0.03
199407,3.09,0.31
199408,2.54,-0.08
199409,2.14,-0.35
199410,2.86,0.7
199411,2.9,0.67
199412,2.19,-0.16
199501,3.18,0.87
199502,1.6,-0.53
199503,2.99,0.48
199504,2.83,0.31
199505,4.1,1.19
199506,3.23,0.3
199507,2.65,-0.13
199508,2.66,0.04
199509,2.2,-0.29
199510,2.63,0.47
199511,2.37,0.14
199512,2.25,-0.1
199601,2.82,0.51
199602,1.89,-0.24
199603,2.24,-0.27
199604,2.56,0.04
199605,3.32,0.41
199606,2.87,-0.06
199607,3.12,0.34
199608,2.66,0.04
199609,3.44,0.95
199610,2.49,0.33
199611,3,0.77
199612,3.29,0.94
199701,2.81,0.5
199702,2.39,0.26
199703,2.44,-0.07
199704,2.99,0.47
199705,2.78,-0.13
199706,3.4,0.47
199707,2.71,-0.07
199708,2.68,0.06
199709,2.54,0.05
199710,2.52,0.36
199711,2.29,0.06
199712,2.31,-0.04
199801,3.36,1.05
199802,3.32,1.19
199803,3.23,0.72
199804,2.57,0.05
199805,2.62,-0.29
199806,3.32,0.39
199807,2.86,0.08
199808,2.42,-0.2
199809,2.51,0.02
199810,2.97,0.81
199811,2.63,0.4
199812,2.08,-0.27
199901,3.13,0.82
199902,1.92,-0.21
199903,2.19,-0.32
199904,2.87,0.35
199905,2.91,0
199906,3.31,0.38
199907,2.58,-0.2
199908,2.3,-0.32
199909,2.52,0.03
199910,1.57,-0.59
199911,1.44,-0.79
199912,1.73,-0.62
200001,2.14,-0.17
200002,2.12,-0.01
200003,2.44,-0.07
200004,2.32,-0.2
200005,2.66,-0.25
200006,3.45,0.52
200007,2.3,-0.48
200008,1.91,-0.71
200009,2.18,-0.31
200010,2.26,0.1
200011,2.73,0.5
200012,1.71,-0.64
200101,1.85,-0.46
200102,2.21,0.08
200103,2.57,0.06
